N, M, N_CPU, EST_FREQ, runtime_pl, runtime_py, runtime_py_minus_pl
10, 10000, 1, 0.25, 2, 2, 0
10, 10000, 1, NONE, 3, 0, -3
10, 50000, 1, 0.25, 2, 1, -1
10, 50000, 1, NONE, 4, 2, -2
20, 10000, 1, 0.25, 3, 1, -2
20, 10000, 1, NONE, 4, 3, -1
20, 50000, 1, 0.25, 4, 3, -1
20, 50000, 1, NONE, 6, 6, 0
40, 10000, 1, 0.25, 5, 3, -2
40, 10000, 1, NONE, 6, 6, 0
40, 50000, 1, 0.25, 13, 8, -5
40, 50000, 1, NONE, 21, 26, 5
10, 10000, 2, 0.25, 3, 0, -3
10, 10000, 2, NONE, 3, 1, -2
10, 50000, 2, 0.25, 3, 1, -2
10, 50000, 2, NONE, 3, 2, -1
20, 10000, 2, 0.25, 3, 1, -2
20, 10000, 2, NONE, 3, 2, -1
20, 50000, 2, 0.25, 6, 3, -3
20, 50000, 2, NONE, 15, 4, -11
40, 10000, 2, 0.25, 6, 2, -4
40, 10000, 2, NONE, 7, 6, -1
40, 50000, 2, 0.25, 17, 8, -9
40, 50000, 2, NONE, 26, 16, -10
10, 10000, 3, 0.25, 2, 0, -2
10, 10000, 3, NONE, 3, 0, -3
10, 50000, 3, 0.25, 2, 1, -1
10, 50000, 3, NONE, 4, 2, -2
20, 10000, 3, 0.25, 2, 2, 0
20, 10000, 3, NONE, 3, 3, 0
20, 50000, 3, 0.25, 5, 2, -3
20, 50000, 3, NONE, 9, 4, -5
40, 10000, 3, 0.25, 7, 4, -3
40, 10000, 3, NONE, 7, 9, 2
40, 50000, 3, 0.25, 16, 6, -10
40, 50000, 3, NONE, 23, 16, -7
