N, M, N_CPU, EST_FREQ, runtime_pl, runtime_py, runtime_py_minus_pl
10, 10000, 1, 0.25, 2, 1, -1
10, 10000, 1, NONE, 2, 1, -1
10, 50000, 1, 0.25, 3, 1, -2
10, 50000, 1, NONE, 3, 2, -1
20, 10000, 1, 0.25, 3, 1, -2
20, 10000, 1, NONE, 3, 2, -1
20, 50000, 1, 0.25, 4, 3, -1
20, 50000, 1, NONE, 6, 6, 0
40, 10000, 1, 0.25, 4, 6, 2
40, 10000, 1, NONE, 6, 7, 1
40, 50000, 1, 0.25, 12, 9, -3
40, 50000, 1, NONE, 24, 31, 7
10, 10000, 2, 0.25, 3, 1, -2
10, 10000, 2, NONE, 2, 1, -1
10, 50000, 2, 0.25, 3, 1, -2
10, 50000, 2, NONE, 3, 2, -1
20, 10000, 2, 0.25, 2, 2, 0
20, 10000, 2, NONE, 3, 2, -1
20, 50000, 2, 0.25, 4, 3, -1
20, 50000, 2, NONE, 7, 6, -1
40, 10000, 2, 0.25, 4, 3, -1
40, 10000, 2, NONE, 6, 5, -1
40, 50000, 2, 0.25, 14, 8, -6
40, 50000, 2, NONE, 29, 15, -14
10, 10000, 3, 0.25, 3, 0, -3
10, 10000, 3, NONE, 3, 0, -3
10, 50000, 3, 0.25, 3, 1, -2
10, 50000, 3, NONE, 3, 1, -2
20, 10000, 3, 0.25, 2, 1, -1
20, 10000, 3, NONE, 3, 2, -1
20, 50000, 3, 0.25, 6, 2, -4
20, 50000, 3, NONE, 8, 4, -4
40, 10000, 3, 0.25, 4, 3, -1
40, 10000, 3, NONE, 8, 5, -3
40, 50000, 3, 0.25, 13, 7, -6
40, 50000, 3, NONE, 25, 18, -7
